date;India;Italy;US;Germany
2020-07-23;1288108;245338;4038816;204881
2020-07-24;1337024;245590;4112531;205623
2020-07-25;1385635;245864;4178970;206278
2020-07-26;1435616;246118;4233923;206667
2020-07-27;1480073;246286;4290337;207112
2020-07-28;1531669;246488;4356206;207707
2020-07-29;1581963;246776;4426982;208546
2020-07-30;1634746;247158;4495015;209535
2020-07-31;1695988;247537;4562107;210399
2020-08-01;1750723;247832;4620592;211005
2020-08-02;1803695;248070;4668172;211220
2020-08-03;1855745;248229;4713540;212111
2020-08-04;1908254;248419;4771080;212828
2020-08-05;1964536;248803;4823890;214113
2020-08-06;2027074;249204;4883582;215039
2020-08-07;2088611;249756;4941755;216196
2020-08-08;2153010;250103;4997929;216903
2020-08-09;2215074;250566;5044864;217288
2020-08-10;2268675;250825;5094400;218508
2020-08-11;2329638;251237;5141208;219540
2020-08-12;2396637;251713;5197411;220859
2020-08-13;2461190;252235;5248958;222281
2020-08-14;2525922;252809;5313252;223791
2020-08-15;2589952;253438;5361165;224488
2020-08-16;2647663;253915;5403213;225007
2020-08-17;2702681;254235;5438325;226700
2020-08-18;2767253;254636;5483388;228120
2020-08-19;2836925;255278;5529824;229706
2020-08-20;2905825;256118;5573847;231292
2020-08-21;2975701;257065;5622470;233029
2020-08-22;3044940;258136;5667070;233861
2020-08-23;3106348;259345;5701645;234494
2020-08-24;3167323;260298;5739536;236122
2020-08-25;3224547;261174;5777710;237583
2020-08-26;3310234;262540;5821819;239010
2020-08-27;3387500;263949;5867785;240571
2020-08-28;3463972;265409;5913941;242126
2020-08-29;3542733;266853;5961094;242835
2020-08-30;3621245;268218;5996431;243305
2020-08-31;3691166;269214;6030587;244802
2020-09-01;3769523;270189;6073840;246015
2020-09-02;3853406;271515;6113510;247411
2020-09-03;3936747;272912;6150016;248840
2020-09-04;4023179;274644;6200518;250283
2020-09-05;4113811;276338;6244970;251058
2020-09-06;4204613;277634;6276365;251728
2020-09-07;4280422;278784;6300622;253626
2020-09-08;4370128;280153;6327009;254957
2020-09-09;4465863;281583;6360212;256433
2020-09-10;4562414;283180;6396100;258149
2020-09-11;4659984;284796;6443652;259735
2020-09-12;4754356;286297;6485123;260817
2020-09-13;4846427;287753;6519573;261737
